name,address,characteristics,time,transport,tags,reference
中華そば 寶來軒,704台南市北區公園南路206號,原台北西湖市場的人氣店：豚骨家，之後搬遷到台南。而豚骨家的招牌已結束變成寶來軒，豚骨家原址已變成圓寶。豚骨家的豚骨拉麵是台灣拉麵歷史上很重要的一個指標，很多當今的人氣店都有受到豚骨家和金子先生的啟發！從寶來軒後的品項開始走向更多元，以招牌的豚骨湯為基礎的衍伸。,11:30~14:00、17:30~20:00(有不定休的可能，以粉專公告為主),兵工廠,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #2019名店,Huang Wei - 德島拉麵   https://bit.ly/2XZ2cNh   Ben Wo - 超濃厚MEGA豚   https://bit.ly/35trwx3   李孟庭-超濃厚MEGA豚拉麵   http://bit.ly/2rC8DIU   
菜良sara-日式拉麺,701台南市東區崇明路44號,台灣少數主打二郎系的拉麵店，老闆在神奈川県茅ヶ崎市的二郎系名店:菜良sara修業後回台南開業。是台灣二郎系拉麵中的旁系和南部二郎代表，味道上和正統二郎相較下還多份細緻和協調。麵友推薦點多份叉燒變成厚切，還有咖哩粉+拌麵也是絕配！另外也可以嘗試念二郎咒語：「野菜、背脂、大蒜、醬底，都可以免費做客製化增量！」,11:30-14:00、17:30-21:00週一 公休(粉專每個月會公告當月休假日，以粉專為主),臺南監理站,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #拌麵 #二郎 #限定 #2019名店,Jasmine Chang - 南高梅拉麵   https://bit.ly/36JSNfO   林家和 - 烏帽子拉麵   https://bit.ly/3eJdVWL   李孟庭 - 烏帽子拉麵   https://bit.ly/2xs4rOk   
麵屋青鈴（麺や青鈴）,71081台南市永康區新行街33巷1號,開業於2019年11月，以豚湯系為主體，近來不定時會開發新品項，以饗麵友們的味蕾，詳情可察看下方網友食記。,11:30~13:30、17:00~20:00週四 公休,台南應用科大,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #擔擔麵,Huang Wei - 限定。濃厚虱目魚白湯   https://bit.ly/35Apzkr   鄭傑瑞 - 鰹節醬油拉麵、醬油豚骨拉麵 https://bit.ly/2EpSUmr   Huang Wei - 柔蒜豚骨   https://bit.ly/304GO9c   
豚骨家—小北店,70450台南市北區育德路160號,原址為西湖市場豚骨家，之後金子先生開設圓寶及寶來軒之後，再次於台南復刻豚骨家的好味道，本店湯頭以雞豚湯為主軸，開幕於2018年11月。,11:30-14:00、17:30-20:00,小北自助餐,#ramentw #台灣拉麵愛好會 #拉麵 #油拌麵 #雞豚 #煮干 #2019名店,Stars Yang - 青葉系中華Soba   http://bit.ly/39O903t   Ken Chin - 雞白湯＼雞綠湯＼中華力Soba＼東京油麵＼函館鹽拉麵＼Mega＼熊本拉麵   http://bit.ly/2Qcg41b   Cheng-Chieh Huang - 函館鹽味拉麵   http://bit.ly/2weO8Rv   
五黑家日式拉麵,704台南市北區公園北路104號消防局隔壁,"台南少數雞湯為主打的店家，雞湯呈現還有分成基本的醬油、焦香、邪道。比較特別的就是邪道，裡面是加入生雞蛋來增加湯的濃厚度。配料也出現拉麵少見的雞肉丸子，另外可以加點鍋巴來入湯也是這間有趣的方式。另外就是店家會根據季節來出不同的限定，然後食量大無肉不歡的麵友也可以嘗試""樹根""叉燒。此外店主對於自己的要求非常高，所以不能出的湯頭就會休息。要出發前記得先確認粉專消息，另外五黑家也提供預訂。",星期一、二 休息星期三-五 17:00-22:00星期六、日 11:00-15:00、17:00-22:00*提早賣完會提早結束,台南市／公園北路,#ramentw #台灣拉麵愛好會 #拉麵 #雞湯 #2019名店,李孟庭 - 焦香醬油拉麵半碗   https://bit.ly/2WFQXcA   李孟庭 - 味噌雞湯   https://bit.ly/3dpeuUY   李孟庭-原味雞湯拉麵   http://bit.ly/2SBxM1v   
山越拉麵 - 總店,600嘉義市東區中正路349號,嘉義當地知名的排隊拉麵店，以豚湯為主體，湯頭和麵條軟硬度可以客製化。2017年5月開始與鬼金棒技術合作模式轉型，定期出限定款拉麵也讓嘉義拉麵與台北口味同步！,週一~五 17:00~21:00(豚骨)週六~日 11:30~14:00(雞湯)、17:00-21:00(豚骨)「每日湯頭售完提早打烊」週二 公休,林聰明砂鍋魚頭,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #限定 #變化,吳清宏 - 醬油豚骨拉麵   https://bit.ly/2JlmwDQ   吳清宏 - 八幡屋七味麻婆豆腐雞白湯拉麵   https://bit.ly/2UIQ0Om   吳清宏 - 八幡屋七味麻婆豆腐豚骨拉麵   https://bit.ly/2IGwOOX   
覺丸拉麵,701台南市東區東興路275號,台南人氣拉麵店之一，此間店採登記制度因此到店記得先找女老闆登記呦~此外也請留意店家的用餐注意事項。覺丸主打豚骨湯頭，也可以客製化做調整。詳細內容可以參閱下方麵友的食記~,週一 11:30-14:00、17:00-20:00週二 休息週三-日 11:30-14:00、17:00-20:00,台南市東區／東興路,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,Stars Yang - 豚骨叉燒拉麵   http://bit.ly/2weIGgY   Chen Jelly - 豚骨叉燒拉麵   http://bit.ly/2L75mVT   
淳鳩一夫拉麵,700台南市中西區民權路二段218號,雞魚雙湯頭為主打，是源自一心一勝體系。但是老闆自己也不斷的精進和研發新的菜色和配料提供給麵友們！是台南雞白湯店的好選擇，店家的溏心蛋一直廣受麵友好評，喜歡吃蛋的麵友也可以多加點來試試~叉燒目前除了原本的豬夾肉外也多了梅花叉燒肉，近期還有低溫叉燒的選擇。來滿足麵友們！,11:30-售完、17:00-售完週日 店休,武廟,#ramentw #台灣拉麵愛好會 #雞白湯 #雞魚,Franco Sofa Lee - 干貝雞湯拉麵 https://bit.ly/2HA8a25   Huang Wei - 雞鴨雙湯   https://bit.ly/2YFfiPK   Stars Yang - 蒜味雞白湯拉麵   http://bit.ly/2Ks9JKN   
俺の豚,710台南市永康區東橋一路250號,開業於2017年7月22日，是豚骨拉麵專賣店，溏心蛋會有玉字為特色之一。,11:30~14:00，17:30~20:30週一 休息,東橋一路,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,Huang Wei - DSP濃厚豚骨拉麵、濃厚豬雞魚介沾麵   https://bit.ly/3pZATyv   Huang Wei - DSP濃厚豚骨拉麵   https://bit.ly/2Yyi1Lj   吳俊青 - SP濃厚豚骨拉麵   https://bit.ly/2rpOEcT      
八峰亭,700台南市中西區萬昌街15號,台南人氣拉麵店之一，店家最特別的是特殊的預約制度。需要提前去預約用餐時間，此外還需要押金100如果沒去不會退還。外縣市的麵友建議可以早點去等待詢問是否可以補上，或是請當地朋友幫忙先預約。叉燒的有限量厚切的部分，如果喜好厚實的叉燒不要錯過了。此外近期有販售快煮包，如果不方便出門吃拉麵也可以買回家煮呦！,週一~二 10:30~13:00週三 公休週四~日 10:30~13:00,台南市／萬昌街,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,Athena Wu - 豚骨拉麵   https://bit.ly/32laoc0   Stars Yang - 豚骨魚介青蔥拉麵   http://bit.ly/2ORpIoq   吳俊青 - 乾麵套餐   http://bit.ly/2MntcSO   
