name,address,characteristics,time,transport,tags,reference
麵魂家,265宜蘭縣羅東鎮南門路158號,開幕於2015年6月，深耕宜蘭，屬於全台知名的在地拉麵店家，部份麵友們暱稱本店為「宜蘭王」「搶孤王」，湯頭以博多豚骨為主體，且不定時會推出限定拉麵，以嚮麵友們的味蕾，詳情請見下方麵友食記。,週二~五：12:00–14:30、17:00–20:20週六~日：12:00–20:20,羅東文化廣場對面,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #2019名店,蔡承澔 - 鹽味魚介薩索雞白湯   https://bit.ly/3fOPwyB   Stars Yang - 肉男+魂黑   https://bit.ly/3awZxOa   吳俊青 - 濃厚白湯   https://bit.ly/2RFOiKw   
黑潮拉麵·炸串專賣店,970花蓮縣花蓮市復興街71號,開幕於2017年11月，2020年5月1日遷移至現址，是花蓮在地首屈一指的拉麵專門店，深受在地人以及麵友們喜愛，詳情參閱下方麵友食記。,11:30~13:30、17:30~20:10,花蓮市戶政事務所,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #炸串,Youmu K YK - 黑蒜拉麵   https://bit.ly/39o2aVm   林俊安 - 味噌拉麵／醬油拉麵 https://bit.ly/34gLkFd   Huang Wei - 厚切叉燒拉麵   https://bit.ly/30E7uOI   
拉麵 匠心食堂,970花蓮縣花蓮市明禮路12號,粉專於2011年10月開設，是花蓮在地老字號拉麵店，深受在地人以及麵友們喜愛，甜點也是本店的特色之一，詳情參閱下方麵友食記。,11:30–14:00、17:15–19:45週日、一 休息,明星手藝行,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,Raven Chen - 正油拉麵   http://bit.ly/2JMgZEt   吳俊青 - 豚骨拉麵   http://bit.ly/2VLk66J   
倉麵屋ラーメン,970花蓮縣花蓮市進豐街57巷7弄44號,本店開業於2014年6月，分店位於中壢。以豚骨湯為主軸，口味偏台日混合，湯頭鹹度略低，此味深受在地民眾喜愛，詳情可察看下方網友食記。,11:30–14:00、17:00–21:00,邊境法式點心坊,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,韓璐彼 - 豚骨拉麵   http://bit.ly/2Sjb1xh   黃傑夫 - 醬油拉麵／地獄拉麵   http://bit.ly/2XOD5yg   
定置漁場三代目 The Fishery,970花蓮縣花蓮市建國路23號1樓,粉專建立於2019年4月，是以鮮魚系魚白湯為主體的拉麵店，大多客人推薦川椒酸菜拉麵，此店深受在地民眾喜愛，詳情可察看下方網友食記。,12:00~22:00,建國路,#ramentw #台灣拉麵愛好會 #拉麵 #魚白 #鬼頭刀,Faust Alastair - 鮮魚美白湯   https://bit.ly/302aDZh   魏孟辰 - 膠原魚白湯拉麵-招牌柚子鹽   https://bit.ly/382EbZn   林子祥 - 招牌柚子胡椒／三代目叉燒沾麵   https://bit.ly/2xMTd7B   
哈拉麵,950台東縣台東市福建路285號950,粉專建立於2018年3月，是以豚骨湯為主體的拉麵店，湯稠度稀，湯厚度略重，屬台日混合風格湯頭，價格平實，深受在地民眾喜愛，詳情可察看下方網友食記。,11:00~14:00、17:00~21:30,新生路與福建路交叉口,#ramentw #台灣拉麵愛好會 #豚骨 #CP值,Liu Yen Ting - 厚切叉燒擔擔麵 https://bit.ly/3n1yh0R   林子祥 - 醬油豚骨   http://bit.ly/2Kv8Ow6   Liu Yen Ting - 厚切叉燒擔擔麵   https://bit.ly/3n1yh0R   
一心拉麵,265宜蘭縣羅東鎮光榮路413號,開業於2015年5月，以豚骨系為主軸的湯底，價格平實，深受當地客人喜愛，詳情可察看下方網友食記。,週一-五 11:30~14:00、17:30~21:00週六-日 11:30~21:00週三 公休,晏京精品旅館,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,胡政佑 - 三星玉蔥、鹽味、醬油、味噌、地獄   http://bit.ly/2LYwh9q   
太子豚骨ラーメン,970花蓮縣花蓮市新港街23號,原在花蓮自由街，之後遷移至現址。本店開業於2014年4月，以豚骨湯為主軸，風格偏向為淡麗方向，深受在地民眾喜愛，詳情可察看下方網友食記。,12:00~14:00、17:30~20:30週三 公休,新港街,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,黃傑夫 - 骰子叉燒豚骨／地獄拉麵   http://bit.ly/2Sn41zo   
屋台拉麵,261宜蘭縣頭城鎮北宜路一段91號交流道,店家所在位置位於北宜公路宜蘭端山腳下，用餐環境是其特色。詳情參閱下方麵友食記。,11:00~17:00週二、三 公休有不定休可能，詳情請洽下方網站,頭城交流道,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,Raven Chen - 豚骨拉麵   http://bit.ly/2B9CE3G   Chiu Cheng Chung - 豚骨拉麵／醬油拉麵   http://bit.ly/2PAGY1a   Yao Cheng Lee - 豚骨拉麵   http://bit.ly/2QS2Fyt   
宜蘭鬼匠拉麵-總店,260宜蘭縣宜蘭市光復路38號,以平價及多樣化的豚骨湯頭，深受愛好CP值的消費者享用。,平日 11:00~14:30、16:30~20:30假日 11:00~20:30,宜蘭消防局第一分隊,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,目前尚無食記   
