name,address,characteristics,time,transport,tags,reference
麵屋祥 東京醬油拉麵,804高雄市鼓山區大順一路459號1樓,開業於2015年，修業於鷹流體系並為鷹流認證店家。店內有濃湯、清湯醬油可選擇，是高雄當地首屈一指的醬油拉麵。,17:30–21:30無固定休日,高雄特教中心對面／捷運凹子底步行3分,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #2019名店,徐偉格 - 濃湯SP   http://bit.ly/38gEuOx   雨天 - 濃醇煮干し醤油ラーメン   http://bit.ly/2RzdfbX   李昊陽 - 清湯蔥拉麵、清湯叉燒麵 https://bit.ly/2omw1Za   
【吉胤家】橫浜家系ラーメン,807高雄市三民區慶雲街105號,開業於2017年11月，是目前高雄在地唯二的家系拉麵，且有數量上的限制。採取16:30先領號碼牌後再時間內回來候位用餐。週三、四 販售二毛作咖哩飯、週五、六 進行拉麵販售，詳情參閱官方粉專。,週三-六 17:30–21:00週日-二 未營業,慶雲停車場,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #家系 #2019名店,陳聖諺 - 特盛濃厚豚骨醬油   https://bit.ly/2BB0UiU   劉承翰 - 大滿貫   https://bit.ly/3bmUgdc   Ryan Jhan - 特盛濃厚豚骨醬油拉麵   http://bit.ly/2q8WU00   
瀧澤軒食堂［拉麵屋］,802高雄市苓雅區林泉街44號,開業於2017年5月，是以九州風豚骨湯頭為主的拉麵店，店家會不定時開發出新品，深受拉麵迷的喜愛，詳情請見下方食記。,11:30~14:00、17:00~20:00週二 公休,高師大,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #2019名店,許朝竣 - 博多豚骨拉麵   https://bit.ly/3mgYNU2   Stars Yang - 博多豚骨拉麵   https://bit.ly/3lAAXSF   李孟庭-蒜香豚骨拉麵   http://bit.ly/3aNuuPA   
Ramen 初,830高雄市鳳山區五權南路226號,開幕於2016年8月，是高雄在地豚骨系拉麵名店，豚湯濃鮮鹹滑順，不定期推出的限定品項，更是聚集眾多食客大排長龍，建議在本店用餐的朋友，請於營業時間之前，提前到店訂位用餐，以免向隅。,週一~五 18:00~21:00週六~日 17:30~21:00,仁惠婦幼醫院／捷運鳳山站步行4分,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #2019名店,寒沐蝶 - 醬油豚骨拉麵   https://bit.ly/3iXGb9v   Huang Wei - 特製豚骨拉麵   https://bit.ly/36YaDeZ   雨天 - 廣島沾麵、雞白湯拉麵   https://bit.ly/2x5LzVS   
全粒粉濃厚豚骨拉麵らーめん壱 Ramen Ichi,80147高雄市前金區成功一路298號,開業於2019年12月，是以豚骨湯為主體的拉麵店，詳情可察看下方網友食記。,11:30~14:30，17:30~21:30週一 公休,老行家,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #豚骨,寒沐蝶 - 味玉魚介豚骨沾麵   https://bit.ly/2YHOdL8   Qureshout Matt - 叉燒沾麵   https://bit.ly/3fAPGKV   寒沐蝶 - 豚骨醬油拉麵   https://bit.ly/2xiHHkp   
一本拉麵本店,800高雄市新興區玉竹一街17巷2號,開業於2019年5月，以雞白湯為主的拉麵店，詳情可察看下方網友食記。,12:00~22:00,大囍門韓食燒肉,#ramentw #台灣拉麵愛好會 #拉麵 #雞白湯,邱琳 - SP雞白原湯大盛   https://bit.ly/3ku3fh2   陳聖諺 - SP雞白特盛   https://bit.ly/3aEQBYw   寒沐蝶 - 東京辛拌麵   https://bit.ly/3h5jSOj   
中村製麵,802高雄市苓雅區成功一路231號,開業於2017年5月，以淡麗系的湯頭為主軸，具有多樣化的拉麵，叉燒是本店的亮點，亦不時會出限定，得入店才知限定品項，詳情請見下方麵友食記。,週一-五 11:30–13:30、17:30–20:30週六 11:30–13:15、17:30–20:30週日 未營業,漢神百貨,#ramentw #台灣拉麵愛好會 #拉麵 #淡麗系 #醬油 #限定,Huang Wei - 限定。塩Lemon／中村拉麵   https://bit.ly/2IEa3Ll   寒沐蝶 - Lemon塩拉麵   https://bit.ly/3iRhpHD   Huang Wei - 奶油牡蠣雞白湯拉麵   https://bit.ly/34GiwEq   
拉麵山田,912屏東縣內埔鄉崇聖路4號912,於2019年10月開幕，店家前身為原麵乃藏山田，是主打雞湯的專賣店，雞濃湯堪比濃厚豚骨，是台灣業界罕見的口味。,17:00~21:30週二 公休,內埔三山國王廟,#ramentw #台灣拉麵愛好會 #拉麵 #雞清 #雞白 #雞濃 #限定 #2019名店,Youmu K YK - 鹽味雞白湯   https://bit.ly/3leOIFP   黃暄育 - 醬油雞白湯、鹽味雞白湯   https://bit.ly/2X8hYFI   Huang Wei - 醬油雞白湯   https://bit.ly/2WT0sVZ   
一本拉麵·梟,802高雄市苓雅區廣州一街123之1號,開幕於2018年10月，以豚骨湯頭為主軸，深受在地朋友的喜愛。,12:00–01:00,高雄國稅局,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,寒沐蝶 - 本創武藏叉燒豚骨拉麵   https://bit.ly/2CoSsni   寒沐蝶 - 本多原湯拉麵   http://bit.ly/2PFBvLh   
沐瀧家 拉麵(十二月預定),807高雄市三民區建武路183號,開業於2019年7月，2020年12月遷移至現址，預定12月底重開，本店以豚骨湯為主體，詳情可察看下方網友食記。,11:30~14:00、17:00~22:00週二 公休,正忠路與建武路交叉口,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,寒沐蝶 - 特濃豚骨拉麵   http://bit.ly/2HkmzLY   寒沐蝶 - 特濃豚骨拉麵   http://bit.ly/2OMC4Ty   
