name,address,characteristics,time,transport,tags,reference
辰拉麵,234新北市永和區文化路110號1樓,老闆自鷹流修業多年後開設店面，有雞湯及豚湯二種湯頭供應，本店為鷹流認證店家，詳情請見下方食記。,17:00~21:00休息時間請參閱粉專，每個月會公告一次。,文化路／捷運頂溪站,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #豚骨醬油 #雞湯,韓徵 - 鹽味雞湯拉麵   https://bit.ly/38NimiU   蔡旻原 - 豚骨醬油   https://bit.ly/3dOlz1Z   吳清宏 - 叉燒大滿足   https://bit.ly/3jSH2ZV   
双豚ラーメン,220新北市板橋區民生路三段193號,開業於2018年8月，位於板橋四維夜市附近大漢橋旁，湯頭是以豬肉食材為主軸，目前有濃湯與清湯二款醬油拉麵，亦有99元清湯拉麵可供麵友輕鬆享用，詳情可察看下方網友食記。,17:00~22:00,板橋四維夜市附近大漢橋旁/新埔捷運站步行7分,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #豚骨醬油 #2019名店,Raven Chen - 清湯醬油叉燒拉麵   http://bit.ly/2vtPvie   Stars Yang - 拌麵(基本款)   http://bit.ly/31NWP3U   李雋恩 - 弓削多醬油雞湯拉麵   http://bit.ly/2txdXy2   
麵屋山茶 SanCha,220新北市板橋區大同街8巷16號,"2020年3月於江子翠復業，罕見以""茶""入菜的拉麵料理，目前該店的拉麵品項會以淡麗系為主題，並請先行參閱官方粉專進行確認。",18:00~21:30(L.O 21:00)週日~二 公休,捷運江子翠站,#ramentw #台灣拉麵愛好會 #拉麵 #淡麗系 #茶系 #限定 #變化 #2019名店,Christine Wang - 蛤貝柚yoyo醬油雞清湯   https://bit.ly/2S0gABj   莊家豪 - 大蛤雞清湯拉麵   https://bit.ly/2O87UqI   Makoto Nagahiro - 輕煮干醬油雞湯拉麵   https://bit.ly/3armxyJ   
熊越岳,242新北市新莊區幸福路750號,開幕於2019年5月，從鷹流涼風庵學業後，於新莊區域開設屋台，濃湯湯底為豚雞湯，亦有99元拉麵品項，加湯加麵免費，深受當地人喜愛，詳情請見下方食記。,17:00~22:00,幸福路NET,#ramentw #台灣拉麵愛好會 #拉麵 #豚雞 #無限加麵 #限定 #2019名店,陳宥宣 - 大壩限定   https://bit.ly/3e0QDvM   Mudcom Gong - 大霸限定濃湯叉燒 https://bit.ly/37rENJy   柯安妮 - 蔬食咖哩拌麵 玉山西限定   https://bit.ly/2X2HOKm   
海貓亭拉麵 うみねこ亭,231新北市新店區新店路27號,開業於2019年12月28日，是以雞湯為主體的拉麵店，亦有販售章魚燒與布丁，還有不定時出現的限定麵食，以及新推出午間沾麵造褔新店的麵友們，此店深受在地麵友的喜愛，詳情可察看下方網友食記。,週一~五 11:30~13:30、17:30~21:00週六~日 11:30~13:30、17:30~20:30週四 休息,新店國小／捷運新店站步行10分,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #雞白湯 #泡系 #章魚燒 #布丁 #每月29日,陳灝儒 - 溫醇雞白湯拉麵   https://bit.ly/2YEHAKw   鐘萱 - 溫醇雞白湯拉麵   https://bit.ly/3dmPzAF   黃宣蒲 - 溫醇雞白湯拉麵   https://bit.ly/2VXTJsP   
麵屋道樂,24152新北市三重區仁愛街688號,開業於2019年10月，是道樂屋台所開設的第三家店舖，詳情可察看下方網友食記。,12:00–14:00、17:00–21:00(售完為止)週一 公休,仁愛街,#ramentw #台灣拉麵愛好會 #拉麵 #豚湯 #2019名店,Stars Yang - 味噌拉麵   https://bit.ly/2MrE3uc   Frankie Chen - 雞白湯拉麵   https://bit.ly/2vDZaiY   蔡承澔 - 豪華豚骨拉麵   https://bit.ly/2vE1xCo   
藏味拉麵,235新北市中和區景安路132巷1號,開業於2018年12月，湯頭為有分為豚骨與雞骨二種湯底，而且加湯加麵可以無限加，部份麵友認為這是中、永和區域排名第一的拉麵店，詳情可察看下方網友食記。,11:30–14:00、17:00–21:00週一 公休,港麗茶餐廳,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #魚介豚骨 #雞清湯 #豚濃 #雞清湯 #濃厚系 #淡麗系,Raven Chen - 叉燒饗宴豚骨拉麵   http://bit.ly/2M2vWnd   歐布哲 - 叉燒盛宴豚骨拉麵   http://bit.ly/2Ol8Zyr   
Le Ming 麵食精釀餐酒館-林口店,244新北市林口區南勢街118號,開業於2019年9月，本店的湯體是使用西式手法調理並以干貝雞湯為主體，是目前少見以魚介雞湯系為主的拉麵店，店內亦有販售沾麵及啤酒，是林口當地屈指可數的餐酒館，詳情可察看下方網友食記。,17:00 - 21:00週一 公休,民族路、南勢街交叉口,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #雞湯 #雞骨魚介,Soron Hsu - 松露干貝雞、番茄雞叉燒沾麵   http://bit.ly/2T9IomM   YenYu Chen - 魚介海老沾麵   http://bit.ly/2mGiKtB   Hank Wu - 海老魚介拉麵／番茄牛肋沾麵   http://bit.ly/2mJfYUe   
一幻拉麵 x 胡同居酒屋,220新北市板橋區縣民大道二段7號2F,開業於2019年10月，位於板橋車站二樓，主打蝦味湯頭，詳情可察看下方網友食記。,11:00~22:30(Last order 22:00),板橋車站,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #豚骨魚介 #豚骨蝦 #2019名店,許秩綱 - 原味鹽味蝦拉麵   http://bit.ly/35dj3fK   
麵屋三郎,242新北市新莊區建國一路92號,開業於2016年11月，主打醬油豚骨、雞骨湯頭，受到許多輔大學生族群與在地顧客的愛護，在點餐時可以客製化服務。另外店主曾在台北名店鷹流體系下修業過，呈現風格既視感強烈。,11:00–14:00、17:00–21:00,輔仁大學／捷運輔大站步行5分,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,曾鐘瑩 - 清湯雞骨拉麵   https://bit.ly/2ZaDp8B   Candy Yang - 濃厚豚骨叉燒拉麵   http://bit.ly/2JWp7i6   古景安 - 雞骨叉燒拉麵   http://bit.ly/2Lj9tmt   
