name,address,characteristics,time,transport,tags,reference
三冬麵舖,330桃園市桃園區同德十街17號,一週營業四天的雞濃湯拉麵店，雞濃湯擺盤華麗，配料食感豐富，老闆亦醉心於新拉麵食感的開發，將會不定時推出限定拉麵以饗饕客味蕾，除此之外，店內的法式布丁更是必點項目。,週三~五 17:00~19:45週六 12:00~13:30、17:00~19:45週日~二 未營業,桃園藝文特區、同德十街,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #煮干 #布丁 #限定 #2019名店,Stars Yang - 藤椒雞濃厚拉麵   https://bit.ly/35ZQAxM   Stars Yang - 濃煮干藤椒雞濃厚拉麵   https://bit.ly/2TyUZ3D   Stars Yang - 藤椒特製雞濃厚   https://bit.ly/3lBsFty   
大角拉麵 ダージャオラーメン,無提供地址資訊,開幕於2020年1月，之前在麵Sato的師傅青山先生所開設的店家，詳情可察看下方網友食記。,17:30~20:30週一 定休,東門市場,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #雞清,邱汶 - 雞清湯醬油焦香拉麵   https://bit.ly/2Z3SytJ   Hsing Chuan Chen - 叉燒豚骨鹽味拉麵   http://bit.ly/3864vQR   Chang Torge - 雞清湯醬油焦香拉麵   http://bit.ly/32uTy9X   
麵屋浩Hiroshi,300新竹市北區北門街87號,新竹城隍廟附近，一家目前只在晚上開4小時的拉麵店，每天晚上卻還是大排長龍! 可以免費加湯和免費加麵一次，好吃道地的濃郁日式拉麵。,17:30–21:30週六~日 公休,新竹城隍廟,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #醬油,Chester Tang-濃湯叉燒拉麵   http://bit.ly/2uaEOQs   卓根廷 - 叉燒拉麵-濃湯   http://bit.ly/2VIVbB0   Victor Lo - 清湯SP   http://bit.ly/2JMaRMn   
あお．実家和食処 (另一個家),330桃園市桃園區寶山街210巷31號,在桃園區頗負盛名，前身為麵屋嵐山，但現在已升級為二代店【あお．実家】，原本是販售博多拉麵，使用豚骨湯頭為主，但現在已改為雞湯醬油湯底的中華拉麵，也新增了丼飯、煎餃、担担麵…等選擇，是屬於社區型態的在地風味拉麵店，深受附近居民的喜愛。,11:00~18:30週一~三 公休,桃園區寶山街,#ramentw #台灣拉麵愛好會 #拉麵 #雞湯 #擔擔麵 #滷大腸,Stars Yang - 蛋花拉麵   https://bit.ly/344vlJ1   黃志明 - 招牌中華拉麵   https://bit.ly/3lHpoJY   Stars Yang - 蛋花拉麵   https://bit.ly/344vlJ1   
麵屋豚介 拉麵專門店,320桃園市中壢區興農路46號,店家主打暴力直拳系的控湯手法，湯頭以豚骨為主。本店位於內壢火車站前，步行僅需5~6分鐘即可到達；店裡位置不多，大約可容納十五位之多。 另外口味屬於濃厚系列。,11:00–14:00、17:00–20:00週一-二 公休,內壢火車站旁，忠孝路第一個路口左轉,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #限定,Stars Yang - 煮干豚骨沾麵   https://bit.ly/3gwDYA1   Ernest Eli - 爆走次郎拉麵   https://bit.ly/2RLuftN   Stars Yang - 魚豚沾麵   https://bit.ly/2T1LtVl   
麵屋一鮫,300新竹市東區關新路,2019年12月19日試營運。開業於2019年12月30日，是以豚骨湯為主軸的店家，詳情可察看下方網友食記。,17:00~22:00週六 公休,關新二街,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #豚骨 #限定,劉敬曦 - 清湯醬油拉麵極盛   https://bit.ly/3f8qn1g   楊雅竣 - 沾麵   https://bit.ly/37tNsJy   Hsing Chuan Chen - 極盛清湯醬油拉麵   https://bit.ly/2MQ3dkK   
極清拉麵-Kiyome Ramen,320桃園市中壢區九和一街3號,開業於2018年12月，是屬於中壢當地少數的淡麗系湯頭名店，詳情可察看下方網友食記。,週一-五 17:00–20:30週六-日 12:00–14:00、17:00–20:30,威尼斯影城,#ramentw #台灣拉麵愛好會 #拉麵 #雞湯,李研碩 - 燒塩拉麵   https://bit.ly/3eJvhS0   Mark Wu - 燒塩拉麵／豚骨拉麵   http://bit.ly/2LVQIoe   吳東坤 - 雞白湯拉麵／燒塩拉麵   http://bit.ly/2JEZrJS   
Hiro's らぁ麵 Kitchen-新竹創始店,320桃園市中壢區大勇一街35號,開業於2018年10月，是以豚骨湯為主體的拉麵店，2020年10月獲得台北市牛肉麵節紅燒組第三名，詳情可察看下方網友食記。,17:30~21:30營業日不固定，請參考店家的FB粉專,世界街、麵屋浩,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #雞清湯,毛文謙 - 叉燒拉麵   https://bit.ly/2VDB0mf   星果汁 - 拉麵   https://bit.ly/2EIAXz6   
横浜家系ラーメン拉麵家,300新竹市東區民生路119號,開幕於2020年2月1日，初期設定為外帶店，店主為原大和家店長，可察看下方網友食記。,11:00–21:30週三 定休,新竹巨城／陽信銀行,#ramentw #台灣拉麵愛好會 #拉麵 #家系 #豚骨,黃世明 - 清湯拉麵   http://bit.ly/36XZxoJ   黃世明 - 叉燒鹽味拉麵   http://bit.ly/2vmCI0C   
麵屋豚彩,324桃園市平鎮區中豐路山頂段186號,原本開在平鎮的麵屋豚介， 似乎是因為家庭因素影響，自2017年3月起休業，之後原址改為麵屋豚彩，由老闆娘經營，豚湯渾厚細緻，風格有異於豚介，3/9開始變更為雞骨與魚介湯底，詳情請見下方食記。九月份的營業時間變動如下:9/28~30 營業10/1~2 休息10/3 中午營業10/26~28 員旅10/29 晚上營業,週三-四 17:00–20:00週五-日 11:00–14:00、17:00–20:00週一-二 公休,龍潭山仔頂,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨,Hsing Chuan Chen - 濃厚叉燒豚骨+魚豚叉燒豚骨   https://bit.ly/2FYyMZe   Stars Yang - 小二郎+干貝醬油豚骨拉麵   https://bit.ly/32k9Owt   謝春宏-濃厚叉燒豚骨拉麵   http://bit.ly/2NKwjmX   
小郜家 雞白湯拉麵,334桃園市八德區介壽路二段167-2號,開幕於2018年10月，以濃厚雞白湯為主的拉麵店，湯底的層次厚度偏甜，鹹味層次較單一，麵友們較推此店的鹽味雞白湯，詳情可察看下方網友食記。,週二~五 12:00~14:30，16:30~19:30週六 12:00~19:30週日、一 公休,大潤發桃園八德店,#ramentw #台灣拉麵愛好會 #拉麵 #雞白 #柑橘,謝春宏 - 鹽味雞白湯   https://bit.ly/39SxSs6   Stars Yang - 鹽味雞白湯、醬油雞白湯   https://bit.ly/3dwBK2Z   鍾孝彥 - 鹽味雞白湯拉麵   https://bit.ly/2xf2HZ1   
翔大拉麵店,320桃園市中壢區大仁三街9號,開業於2019年9月，是以豚骨湯為主體的拉麵店，於2020年2月開始提供雞白湯。二．四．六 ➡️ 雞白湯 🐔三．五．日 ➡️ 豚骨湯頭 🐷清湯的部分皆有供應，詳情可察看下方網友食記。,11:30~13:30、17:00~20:00週一、二 公休,大仁三街,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #雞白湯,鄭傑瑞 - 黑蒜油豚骨拉麵   https://bit.ly/38Eww5A   毛文謙 - 霸王別姬 虞姬拉麵   https://bit.ly/3mzpzHy   
籽田野菜屋,300新竹市東區世界街93號,開業於2013年12月，是新竹蔬食者之間，頗具盛名的無化調素食拉麵店家，本店除了有多種風味拉麵之外，也提供了拉麵以及健康風格米飯、甜食的選項，詳情可察看下方網友食記。,11:30–13:30、17:30–20:00,薯霸早餐,#ramentw #台灣拉麵愛好會 #拉麵 #素食,李秉諺 - 蒜頭拉麵   http://bit.ly/2OdyukO   
豚戈屋台拉麵,330桃園市桃園區國際路一段98巷52號,原本位於八德的豚戈屋台拉麵，從只有一處少少座位的小攤車，到2018/3月底開了新店面，距離檜溪肉圓很近，而其真材實料的天然湯頭好味道，讓不少忠實客人一路追隨，拉麵都是每日限量，賣完就要等隔天啦！,11:30~14:30，17:30~21:00週一 公休,大興西路,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #限定,Dwayne Weng - 煮干醬油拉麵   https://bit.ly/2UtTTpX   陳逸凡 - 豚戈豚骨拉麵   http://bit.ly/2Z0IenK   
麵屋一人,32552桃園市龍潭區中正路108號,預定開業於2019年10月，是以雞清湯系為主軸的拉麵店，詳情可察看下方網友食記。,週二-五 17:00–21:00週六-日 11:30–14:30、17:00–21:00週一 公休,龍潭屈臣氏,#ramentw #台灣拉麵愛好會 #拉麵 #雞清 #雞白,Hsing Chuan Chen - 黃金雞白湯 https://bit.ly/2FYyMZe   Mark Wu - 黃金雞白湯   http://bit.ly/3cS0va9   李奇來 - 黃金雞白湯、塩味雞清湯   http://bit.ly/37iGuW0   
雞玉錦拉麵Nishiki-林口環球購物中心A8店 ,"No. 8, 復興一路龜山區桃園市333","錦集團之創立,1994年「雞玉錦拉麵」誕生於日本秋田縣大館市。以秋田縣為中心、錦集團擴展多家店舗、依毎家店舗調製不同口味，目前台灣桃園為第一家分店，總計台灣有四家分店。",11:00–20:00,林口長庚醫院／A8長庚醫院站,#ramentw #台灣拉麵愛好會 #拉麵 #雞湯,Stars Yang - 雞湯柚子鹽味拉麵   http://bit.ly/2SG5nnE
