name,address,characteristics,time,transport,tags,reference
山下公園 ラーメン,403台中市西區健行路1049號金典綠園道商場三樓,前身為有囍拉麵屋台-科博店，本店開業於2018年8月，位於金典綠園道3樓，是以橫濱家系為構思主軸的拉麵，目前週二、三出二郎系拉麵，週四、五出德島拉麵，並且會不定時推出限定拉麵，若對限定拉麵有興趣，可在用餐前一天至粉專與店主進行溝通，或許有機會可以吃到限定拉麵。本店店長胖虎的好手藝、愛心以及對於美味的堅持，造福了許多中部區域麵友們的味蕾，詳情可察看下方麵友食記。,週二~五 11:30~14:00、17:00~21:00週六 11:30~15:00、17:00~21:00週日 11:30~15:00、17:00~20:30週一 休息,金典酒店,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #拌麵 #豚雞 #限定 #家系 #二郎風 #變化 #加麵一球免費 #加飯一碗免費 #2019金賞,Mudu Yang - 生薑豚雞濃湯   https://bit.ly/2KzrWMl   元元 - 德島拉麵   https://bit.ly/3ph2gUo   黃金俏 - 醇辛鹽味豚濃湯+叉燒繁盛拉麵   https://bit.ly/36cNF3F   
有囍yoshi ramenよし ラーメン中山店,400台中市中區中山路82號,主打雞豚湯的專門店，不定期推出限定菜色即使是定番菜單，也會隨著季節變化主餐皆有前菜及飯後水果每一次來用餐，都會有新的發現*週三、四 德島日,11:30~14:00，17:30~21:00週二 店休,台中車站,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #拌麵  #雞豚 #二郎風 #限定 #變化 #加飯一碗免費 #2019名店,陳威愷 - 蕈菇松露雞白湯   https://bit.ly/38Nq9wY   陳國銓 - 一日限定澄澈虱目魚清湯   https://bit.ly/3jSwrNL   吳清宏 - 鹽味琥珀雞貝拉麵   https://bit.ly/32poF8I   
らーめん七面鳥,403台中市西區中美街331巷15號,前身是麵屋虎匠，改名七面鳥後品項也做了變動。除虎匠知名的二郎拉麵有在七面鳥提供之外，每個禮拜出的限定拉麵，湯頭就有如重擊直拳般，痛快打擊了每個拉麵愛好者們的味蕾，部份麵友稱本店湯體有如暴力直拳般的感受，是台中拉麵愛好者們必需朝聖的店家！目前每週一、二 固定供應限定豚骨拉麵（博多、特濃、豚骨二郎系）,11:30~15:00、17:30~21:00,公益公園,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #雞白湯 #雞白湯 #豚骨 #二郎風 #鴨醬底 #限定 #變化 #加飯一碗免費 #2019名店,Hsing Chuan Chen - 極濃雞豚大岩亭／濃厚沾麵   https://bit.ly/37a0TPa   馮韡 - 極濃雞豚   https://bit.ly/3fyRZhY   王國龍 - 極濃雞豚   https://bit.ly/391MsiJ   
麵本初 純水魚貝拉麵,406台中市北屯區熱河路二段210號,開業於2019年11月，是狸匠系列的第四家店，主打魚介系湯頭風味，亦會不時推出新限定，詳情可察看下方網友食記。,11:30-14:00、17:30-21:00,民俗公園,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #魚介 #泡系 #限定 #變化,吳俊青 - 清酒鮭魚   https://bit.ly/39aJloN   Yo Lin - 限定 清酒鮭魚拉麵   https://bit.ly/2UISpbQ   洪宥名 - 純水魚貝醬油拉麵   https://bit.ly/3gwokEY   
蝦蝦拉麵 元氣屋,403台中市西區中美街419-4號,於2019年6月遷移至中美街419巷現址，同年7月開業，是以雞湯與蝦湯為主的拉麵店，蝦沾麵與蝦拌麵深受麵友好評，詳情可察看下方網友食記。,18:00~23:30不定時公休，詳情請洽粉專,華美街、中美街、廣三SOGO後方巷內,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #魚介雞骨,鄭傑瑞 - 蝦蝦沾麵   https://bit.ly/30N6XLs   Mudu Yang - 鹽味雞湯拉麵   http://bit.ly/332lbrt   Abby Liu - 柚香蝦蝦拌麵   http://bit.ly/2HauICA   
麵屋田宗 らーめん,404台中市北區大義街137號,源自於日本名店，主打魚介口味的拉麵專門店，濃厚與淡麗系，皆有專攻，雖隱身在巷弄中，不易發現，但用心的好味道仍讓饕客們願意耐心等候。,週二-四 17:30~21:00週五-日 11:30~14:00、17:30~21:00週一 休息,中國醫藥大學,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #豚骨魚介 #限定 #2019名店,Abby Liu - 魚介豚骨   https://bit.ly/2CI8vxf   鄭傑瑞 - 濃厚豚骨魚介拉麵   http://bit.ly/2Q9DkyF   林子祥 - 濃厚魚介豚骨拉麵   http://bit.ly/2weZ9l6   
麵屋秋鳴,402台中市南區文心南路715號,為狸匠系統中的鴨湯專門店，每月亦會推出限定版拉麵。主打鴨白湯，店主希望用平實的價格，能夠讓更多朋友吃到記憶中日本拉麵的味道。,11:30~14:30、17:30~22:00(L.O 閉店前30分)晚場如遇湯頭售完，會提早打烊。▎鄰近地標或大眾運輸:,,#ramentw #台灣拉麵愛好會 #拉麵 #鴨清湯 #鴨白湯 #二郎風 #限定,吳俊青 - 薑母鴨拉麵2.0   https://bit.ly/3kZyrUV   陳彥霖 - 果香冷麵拉麵   https://bit.ly/2XZxiDl   陳國銓 - 帕當牛肉咖哩沾麵   http://bit.ly/2wzULRB   
激勵軒 Chicken Power Ramen,406台中市太平區樹德路12號,開業於2018年9月，位於台中太平區內，湯頭是以雞食材為主體，味道是屬於台中首屈一指的雞白湯設定，亦有雞清湯，以及不定時出現的限定湯頭，虜獲麵友們的味蕾，詳情可察看下方網友食記。,17:00~23:00,太平區麥當勞旁,#ramentw #台灣拉麵愛好會 #拉麵 #雞濃 #雞白 #雞清 #限定 #變化,吳俊青 - 黑金烏雞燉湯拉麵   https://bit.ly/3q2l4XN   Robertelvis Huang - 和牛男湯 https://bit.ly/3d4v1xX   吳清宏 - 濃厚版本湯咖哩拉麵   https://bit.ly/32p7wMn   
創作麵坊 鮭の大助,無提供地址資訊,開幕於2020年4月10日，由七面鳥所開設的二店，將以鮭白湯為主軸，主打海鮮系食材湯底，詳情可察看下方網友食記。,11:30~14:30、17:30~20:30週一~二 公休,向上市場,#ramentw #台灣拉麵愛好會 #拉麵 #魚貝 #魚介 #鮭白 #加飯一碗免費,陳威愷 - 龍蝦蟹白湯沾麵   https://bit.ly/3lKXjkL   Huang Wei - 蟹白湯沾麵   https://bit.ly/35cCWr6   Abby Liu - 限定橙香鮮貝鵝白沾麵   https://bit.ly/34Nkwgn   
狸匠拉麵-深夜拉麵,402台中市南區建成路1053號,自2016年5月31日營運，2020年9月17日遷移至現址。,▎營業時間:17:00–25:00(Last Order 25:25),▎鄰近地標或大眾運輸:臺中車站 / 忠孝路夜市,#ramentw #台灣拉麵愛好會 #拉麵 #沾麵 #豚濃 #雞清 #限定 #加麵一球免費  #2019名店,吳俊青 - 濃厚燒酒雞拉麵   https://bit.ly/2J7xIEn   元元 - 豚大盛   https://bit.ly/36O7T41   陳彥霖 - 濃芋豚骨   https://bit.ly/2XZxiDl   
麵屋 零,403台中市西區向上路一段245巷9號,店主曾在拉麵之神門下修業，在傳承之後，味道自成一格，並且不定時會有限定拉麵販售，以饗顧客的味蕾，詳情請看下方食記連結。,11:30–14:00，17:30–20:30週三 公休,向上市場,#ramentw #台灣拉麵愛好會 #拉麵 #豚骨 #限定 #2019名店,鄭傑瑞 - 超濃厚味噌沾麵   https://bit.ly/2XMtJRB   林英傑-特濃麻辣沾麵   https://bit.ly/3f4aWqX   Yama Pipi - 番茄冷麵、中華冷麵   https://bit.ly/3fGObLp   
